N,d_mm,weighting,L_mm,BW6dB_1000Hz,SLL_1000Hz,DI_1000Hz,GratingLobe_1000Hz,d_over_lam2_1000Hz,BW6dB_2000Hz,SLL_2000Hz,DI_2000Hz,GratingLobe_2000Hz,d_over_lam2_2000Hz,BW6dB_4000Hz,SLL_4000Hz,DI_4000Hz,GratingLobe_4000Hz,d_over_lam2_4000Hz
8,25,uniform,175,180.0,-60.0,3.2,NO,0.146,62.6,-17.0,9.7,NO,0.292,30.1,-12.8,14.1,NO,0.583
8,25,hanning,175,180.0,-60.0,1.0,NO,0.146,156.2,-60.0,3.7,NO,0.292,58.6,-35.0,10.4,NO,0.583
8,25,dolph20,175,180.0,-60.0,2.6,NO,0.146,71.2,-35.0,8.7,NO,0.292,33.8,-20.0,14.7,NO,0.583
8,25,dolph30,175,180.0,-60.0,2.0,NO,0.146,85.3,-60.0,7.0,NO,0.292,39.6,-30.0,13.8,NO,0.583
8,30,uniform,210,120.0,-60.0,4.6,NO,0.175,51.3,-12.9,10.3,NO,0.35,25.0,-12.8,15.1,NO,0.7
8,30,hanning,210,180.0,-60.0,1.4,NO,0.175,109.2,-60.0,5.1,NO,0.35,48.1,-32.4,12.1,NO,0.7
8,30,dolph20,210,152.0,-60.0,3.7,NO,0.175,58.0,-21.4,10.5,NO,0.35,28.1,-20.0,16.0,NO,0.7
8,30,dolph30,210,180.0,-60.0,2.8,NO,0.175,68.7,-60.0,9.0,NO,0.35,32.8,-30.0,15.4,NO,0.7
8,35,uniform,245,95.9,-60.0,6.1,NO,0.204,43.6,-12.8,11.0,NO,0.408,21.4,-12.8,16.5,NO,0.816
8,35,hanning,245,180.0,-60.0,1.9,NO,0.204,88.7,-60.0,6.6,NO,0.408,40.9,-32.4,13.5,NO,0.816
8,35,dolph20,245,112.5,-60.0,5.0,NO,0.204,49.1,-20.0,11.7,NO,0.408,24.0,-20.0,17.2,NO,0.816
8,35,dolph30,245,150.7,-60.0,3.8,NO,0.204,57.9,-33.5,10.5,NO,0.408,28.0,-30.0,16.8,NO,0.816
16,25,uniform,375,62.3,-17.2,9.8,NO,0.146,30.0,-13.1,14.4,NO,0.292,14.9,-13.1,19.1,NO,0.583
16,25,hanning,375,131.9,-60.0,4.2,NO,0.146,54.3,-33.5,11.0,NO,0.292,26.4,-31.5,17.3,NO,0.583
16,25,dolph20,375,67.5,-35.2,9.2,NO,0.146,32.3,-20.0,14.9,NO,0.292,16.0,-20.0,19.2,NO,0.583
16,25,dolph30,375,82.5,-60.0,7.3,NO,0.146,38.5,-30.0,14.0,NO,0.292,19.0,-30.0,20.0,NO,0.583
16,30,uniform,450,51.1,-13.2,10.4,NO,0.175,24.9,-13.1,15.5,NO,0.35,12.4,-13.1,20.4,NO,0.7
16,30,hanning,450,99.1,-60.0,5.8,NO,0.175,44.7,-31.5,12.7,NO,0.35,21.9,-31.5,18.9,NO,0.7
16,30,dolph20,450,55.2,-20.3,10.8,NO,0.175,26.8,-20.0,16.5,NO,0.35,13.3,-20.0,19.8,NO,0.7
