theta_deg,AF_dB_3120Hz,AF_dB_4000Hz,AF_dB_5000Hz,AF_dB_6240Hz,AF_dB_8000Hz
0.00,0.000,0.000,0.000,0.000,0.000
0.50,-0.062,-0.102,-0.159,-0.249,-0.410
1.00,-0.249,-0.410,-0.644,-1.010,-1.681
1.50,-0.563,-0.932,-1.471,-2.330,-3.954
2.00,-1.009,-1.680,-2.677,-4.307,-7.572
2.50,-1.594,-2.676,-4.321,-7.129,-13.473
3.00,-2.328,-3.951,-6.504,-11.212,-26.657
3.50,-3.224,-5.554,-9.415,-17.753,-24.603
4.00,-4.301,-7.561,-13.454,-36.191,-20.076
4.50,-5.585,-10.104,-19.761,-24.423,-21.540
5.00,-7.113,-13.436,-36.695,-20.361,-29.685
5.50,-8.945,-18.155,-26.235,-20.356,-30.773
6.00,-11.172,-26.448,-21.258,-23.277,-22.119
6.50,-13.957,-37.539,-20.010,-32.128,-20.027
7.00,-17.638,-24.744,-20.704,-32.566,-21.146
7.50,-23.115,-21.290,-23.310,-23.696,-26.448
8.00,-35.201,-20.093,-29.372,-20.693,-43.196
8.50,-31.858,-20.202,-46.721,-20.017,-24.608
9.00,-24.651,-21.435,-27.608,-21.194,-20.667
9.50,-21.759,-24.028,-22.840,-24.792,-20.117
10.00,-20.422,-29.095,-20.699,-35.244,-22.412
10.50,-20.002,-46.954,-20.004,-31.724,-30.167
11.00,-20.289,-31.727,-20.476,-23.872,-32.997
11.50,-21.245,-25.442,-22.214,-20.896,-23.195
12.00,-22.973,-22.402,-25.861,-20.002,-20.320
12.50,-25.808,-20.778,-34.709,-20.731,-20.306
13.00,-30.823,-20.071,-35.864,-23.381,-23.103
13.50,-45.976,-20.110,-26.294,-29.921,-32.306
14.00,-34.609,-20.877,-22.502,-40.659,-31.080
14.50,-27.774,-22.499,-20.655,-26.252,-22.809
15.00,-24.345,-25.364,-20.009,-21.971,-20.247
15.50,-22.267,-30.781,-20.370,-20.245,-20.358
16.00,-20.981,-54.459,-21.813,-20.132,-23.190
16.50,-20.260,-32.015,-24.782,-21.565,-32.261
17.00,-20.002,-26.013,-31.051,-25.205,-31.448
17.50,-20.167,-22.945,-46.937,-35.132,-23.001
18.00,-20.760,-21.185,-28.780,-32.928,-20.322
18.50,-21.834,-20.263,-23.836,-24.597,-20.256
19.00,-23.517,-20.002,-21.375,-21.335,-22.728
19.50,-26.097,-20.351,-20.222,-20.087,-30.303
20.00,-30.357,-21.352,-20.041,-20.288,-34.188
20.50,-40.046,-23.172,-20.777,-21.995,-23.802
21.00,-39.374,-26.251,-22.597,-26.012,-20.594
21.50,-30.214,-32.090,-26.103,-37.657,-20.080
22.00,-26.101,-66.451,-33.938,-31.801,-21.888
22.50,-23.600,-31.817,-39.023,-24.366,-27.466
23.00,-21.961,-26.184,-27.691,-21.297,-44.574
23.50,-20.894,-23.191,-23.453,-20.094,-25.586
24.00,-20.266,-21.413,-21.250,-20.249,-21.255
24.50,-20.010,-20.412,-20.202,-21.799,-20.005
25.00,-20.097,-20.014,-20.037,-25.393,-20.930
25.50,-20.530,-20.158,-20.709,-34.594,-24.604
26.00,-21.337,-20.852,-22.351,-34.436,-36.843
26.50,-22.591,-22.187,-25.431,-25.391,-29.570
27.00,-24.439,-24.394,-31.700,-21.840,-22.722
27.50,-27.201,-28.085,-48.606,-20.286,-20.325
28.00,-31.762,-35.715,-29.642,-20.059,-20.184
28.50,-42.895,-42.516,-24.560,-21.070,-22.188
29.00,-38.687,-30.230,-21.929,-23.651,-27.846
29.50,-30.483,-25.636,-20.537,-29.288,-45.371
30.00,-26.549,-23.010,-20.013,-57.070,-26.029
30.50,-24.086,-21.392,-20.244,-28.690,-21.555
31.00,-22.419,-20.447,-21.258,-23.449,-20.058
31.50,-21.279,-20.033,-23.258,-21.018,-20.535
32.00,-20.537,-20.090,-26.858,-20.060,-23.216
32.50,-20.122,-20.617,-34.633,-20.247,-30.500
33.00,-20.001,-21.667,-40.322,-21.611,-36.291
33.50,-20.158,-23.379,-28.659,-24.604,-24.852
34.00,-20.599,-26.077,-24.275,-31.167,-21.176
34.50,-21.348,-30.687,-21.883,-43.475,-20.014
35.00,-22.459,-42.557,-20.571,-27.944,-20.684
35.50,-24.033,-36.745,-20.031,-23.279,-23.504
36.00,-26.269,-28.946,-20.156,-21.016,-30.997
36.50,-29.632,-25.188,-20.955,-20.080,-36.052
37.00,-35.625,-22.894,-22.554,-20.178,-24.957
37.50,-71.963,-21.424,-25.314,-21.316,-21.278
38.00,-35.428,-20.524,-30.385,-23.805,-20.035
38.50,-29.626,-20.076,-47.288,-28.819,-20.539
39.00,-26.360,-20.027,-33.259,-47.485,-23.016
39.50,-24.188,-20.362,-26.720,-31.049,-29.341
40.00,-22.654,-21.106,-23.442,-24.862,-41.112
40.50,-21.558,-22.326,-21.529,-21.920,-26.010
41.00,-20.794,-24.171,-20.456,-20.455,-21.727
41.50,-20.302,-26.975,-20.020,-20.000,-20.129
42.00,-20.048,-31.684,-20.146,-20.429,-20.314
42.50,-20.012,-43.854,-20.835,-21.818,-22.403
43.00,-20.187,-37.515,-22.175,-24.531,-27.914
43.50,-20.577,-29.798,-24.395,-29.864,-48.040
44.00,-21.197,-26.013,-28.108,-53.600,-26.347
44.50,-22.076,-23.648,-35.794,-31.083,-21.619
45.00,-23.266,-22.066,-42.390,-25.166,-20.039
45.50,-24.859,-21.011,-30.231,-22.237,-20.857
46.00,-27.031,-20.359,-25.664,-20.680,-25.755
46.50,-30.164,-20.043,-23.051,-20.040,-34.475
47.00,-35.375,-20.031,-21.436,-20.168,-18.522
47.50,-51.014,-20.315,-20.484,-21.068,-12.325
48.00,-38.920,-20.905,-20.047,-22.906,-8.380
48.50,-32.006,-21.837,-20.063,-26.190,-5.581
49.00,-28.346,-23.185,-20.520,-32.848,-3.530
49.50,-25.925,-25.092,-21.454,-45.948,-2.036
50.00,-24.183,-27.866,-22.968,-29.830,-0.993
50.50,-22.881,-32.332,-25.296,-24.915,-0.338
51.00,-21.897,-42.626,-29.036,-22.283,-0.031
51.50,-21.160,-40.512,-36.515,-20.801,-0.050
52.00,-20.626,-31.767,-44.580,-20.104,-0.386
52.50,-20.266,-27.682,-31.612,-20.054,-1.039
53.00,-20.062,-25.112,-26.876,-20.628,-2.025
53.50,-20.000,-23.333,-24.112,-21.897,-3.371
54.00,-20.075,-22.062,-22.318,-24.091,-5.133
54.50,-20.283,-21.158,-21.139,-27.844,-7.403
55.00,-20.626,-20.542,-20.413,-35.821,-10.356
55.50,-21.111,-20.169,-20.056,-40.917,-14.367
56.00,-21.748,-20.009,-20.026,-29.524,-20.489
56.50,-22.555,-20.048,-20.310,-25.107,-35.657
57.00,-23.563,-20.279,-20.916,-22.598,-27.687
57.50,-24.816,-20.706,-21.881,-21.093,-22.080
58.00,-26.390,-21.340,-23.280,-20.272,-20.253
58.50,-28.417,-22.206,-25.266,-20.000,-20.096
59.00,-31.164,-23.346,-28.174,-20.233,-21.194
59.50,-35.292,-24.832,-32.942,-20.988,-23.681
60.00,-43.485,-26.796,-45.003,-22.356,-28.528
60.50,-48.586,-29.505,-39.008,-24.565,-43.463
61.00,-37.115,-33.627,-31.218,-28.205,-32.525
61.50,-32.449,-41.914,-27.376,-35.585,-25.852
62.00,-29.532,-46.535,-24.926,-43.807,-22.699
62.50,-27.450,-35.306,-23.222,-30.709,-20.991
63.00,-25.864,-30.706,-22.003,-25.972,-20.169
63.50,-24.611,-27.849,-21.134,-23.252,-20.021
64.00,-23.602,-25.834,-20.540,-21.552,-20.475
64.50,-22.779,-24.326,-20.176,-20.531,-21.552
65.00,-22.105,-23.163,-20.013,-20.052,-23.385
65.50,-21.555,-22.255,-20.033,-20.074,-26.333
66.00,-21.108,-21.547,-20.228,-20.626,-31.532
66.50,-20.751,-21.000,-20.595,-21.836,-48.238
67.00,-20.473,-20.590,-21.139,-24.022,-34.687
67.50,-20.265,-20.297,-21.873,-28.135,-28.104
68.00,-20.121,-20.109,-22.820,-39.929,-24.741
68.50,-20.034,-20.015,-24.022,-32.412,-22.668
69.00,-20.001,-20.007,-25.545,-24.101,-21.338
69.50,-20.017,-20.079,-27.510,-19.613,-20.520
70.00,-20.079,-20.229,-30.154,-16.487,-20.097
70.50,-20.185,-20.451,-34.048,-14.085,-20.007
71.00,-20.332,-20.746,-41.286,-12.143,-20.218
71.50,-20.519,-21.111,-52.294,-10.525,-20.720
72.00,-20.743,-21.549,-37.605,-9.149,-21.526
72.50,-21.005,-22.060,-32.579,-7.965,-22.669
73.00,-21.302,-22.648,-29.551,-6.936,-24.225
73.50,-21.635,-23.318,-27.433,-6.037,-26.341
74.00,-22.002,-24.076,-25.843,-5.247,-29.338
74.50,-22.404,-24.933,-24.603,-4.551,-34.102
