freq_hz,N,d_mm,L_aperture_mm,topology,weighting,BW6dB_deg,SLL_dB,competitor_BW_deg,d_over_lambda,grating_visible_d_ge_lambda,grating_angle_deg
250,16,55.0,825.0,16-indep,dolph20,180.0,-60.0,137.33,0.04,NO,
250,16,55.0,825.0,8-pair,dolph20,180.0,-60.0,137.33,0.04,NO,
250,16,55.0,825.0,16-indep,uniform,140.328,-60.0,137.33,0.04,NO,
250,16,55.0,825.0,8-pair,uniform,140.328,-60.0,137.33,0.04,NO,
500,16,55.0,825.0,16-indep,dolph20,60.703,-23.1,48.0,0.08,NO,
500,16,55.0,825.0,8-pair,dolph20,60.703,-23.1,48.0,0.08,NO,
500,16,55.0,825.0,16-indep,uniform,56.112,-14.22,48.0,0.08,NO,
500,16,55.0,825.0,8-pair,uniform,56.112,-14.22,48.0,0.08,NO,
1000,16,55.0,825.0,16-indep,dolph20,29.269,-20.0,16.0,0.16,NO,
1000,16,55.0,825.0,8-pair,dolph20,29.269,-20.0,16.0,0.16,NO,
1000,16,55.0,825.0,16-indep,uniform,27.203,-13.15,16.0,0.16,NO,
1000,16,55.0,825.0,8-pair,uniform,27.203,-13.15,16.0,0.16,NO,
2000,16,55.0,825.0,16-indep,dolph20,14.515,-20.0,14.94,0.321,NO,
2000,16,55.0,825.0,8-pair,dolph20,14.515,-20.0,14.94,0.321,NO,
2000,16,55.0,825.0,16-indep,uniform,13.505,-13.15,14.94,0.321,NO,
2000,16,55.0,825.0,8-pair,uniform,13.505,-13.15,14.94,0.321,NO,
4000,16,55.0,825.0,16-indep,dolph20,7.243,-20.0,19.15,0.641,NO,
4000,16,55.0,825.0,8-pair,dolph20,7.243,-20.0,19.15,0.641,NO,
4000,16,55.0,825.0,16-indep,uniform,6.741,-13.15,19.15,0.641,NO,
4000,16,55.0,825.0,8-pair,uniform,6.741,-13.15,19.15,0.641,NO,
