n,x_q31_in,y_float,y_fixed,err
600,4.9946514098e-01,4.9946514098e-01,4.9946514098e-01,1.1102230246e-16
601,4.9939908693e-01,4.9939908693e-01,4.9939908693e-01,0.0000000000e+00
602,4.9932918325e-01,4.9932918325e-01,4.9932918325e-01,0.0000000000e+00
603,4.9925542949e-01,4.9925542949e-01,4.9925542949e-01,0.0000000000e+00
604,4.9917782517e-01,4.9917782517e-01,4.9917782517e-01,0.0000000000e+00
605,4.9909637030e-01,4.9909637030e-01,4.9909637030e-01,0.0000000000e+00
606,4.9901106395e-01,4.9901106395e-01,4.9901106395e-01,0.0000000000e+00
607,4.9892190564e-01,4.9892190564e-01,4.9892190564e-01,0.0000000000e+00
608,4.9882889492e-01,4.9882889492e-01,4.9882889492e-01,0.0000000000e+00
609,4.9873203132e-01,4.9873203132e-01,4.9873203132e-01,0.0000000000e+00
610,4.9863131484e-01,4.9863131484e-01,4.9863131484e-01,0.0000000000e+00
611,4.9852674501e-01,4.9852674501e-01,4.9852674501e-01,0.0000000000e+00
612,4.9841832137e-01,4.9841832137e-01,4.9841832137e-01,0.0000000000e+00
613,4.9830604391e-01,4.9830604391e-01,4.9830604391e-01,0.0000000000e+00
614,4.9818991218e-01,4.9818991218e-01,4.9818991218e-01,0.0000000000e+00
615,4.9806992570e-01,4.9806992570e-01,4.9806992570e-01,0.0000000000e+00
616,4.9794608494e-01,4.9794608494e-01,4.9794608494e-01,0.0000000000e+00
617,4.9781838898e-01,4.9781838898e-01,4.9781838898e-01,0.0000000000e+00
618,4.9768683827e-01,4.9768683827e-01,4.9768683827e-01,0.0000000000e+00
619,4.9755143281e-01,4.9755143281e-01,4.9755143281e-01,0.0000000000e+00
620,4.9741217215e-01,4.9741217215e-01,4.9741217215e-01,0.0000000000e+00
621,4.9726905627e-01,4.9726905627e-01,4.9726905627e-01,0.0000000000e+00
622,4.9712208519e-01,4.9712208519e-01,4.9712208519e-01,0.0000000000e+00
623,4.9697125936e-01,4.9697125936e-01,4.9697125936e-01,0.0000000000e+00
624,4.9681657786e-01,4.9681657786e-01,4.9681657786e-01,0.0000000000e+00
625,4.9665804207e-01,4.9665804207e-01,4.9665804207e-01,0.0000000000e+00
626,4.9649565108e-01,4.9649565108e-01,4.9649565108e-01,0.0000000000e+00
627,4.9632940535e-01,4.9632940535e-01,4.9632940535e-01,0.0000000000e+00
628,4.9615930533e-01,4.9615930533e-01,4.9615930533e-01,0.0000000000e+00
629,4.9598535057e-01,4.9598535057e-01,4.9598535057e-01,0.0000000000e+00
630,4.9580754200e-01,4.9580754200e-01,4.9580754200e-01,0.0000000000e+00
631,4.9562588008e-01,4.9562588008e-01,4.9562588008e-01,0.0000000000e+00
632,4.9544036388e-01,4.9544036388e-01,4.9544036388e-01,0.0000000000e+00
633,4.9525099481e-01,4.9525099481e-01,4.9525099481e-01,0.0000000000e+00
634,4.9505777285e-01,4.9505777285e-01,4.9505777285e-01,0.0000000000e+00
635,4.9486069847e-01,4.9486069847e-01,4.9486069847e-01,0.0000000000e+00
636,4.9465977214e-01,4.9465977214e-01,4.9465977214e-01,0.0000000000e+00
637,4.9445499433e-01,4.9445499433e-01,4.9445499433e-01,0.0000000000e+00
638,4.9424636504e-01,4.9424636504e-01,4.9424636504e-01,0.0000000000e+00
639,4.9403388519e-01,4.9403388519e-01,4.9403388519e-01,0.0000000000e+00
640,4.9381755572e-01,4.9381755572e-01,4.9381755572e-01,0.0000000000e+00
