x,y
2.8869085171e-01,2.8869085154e-01
2.8865267227e-01,2.8865267197e-01
2.8861226792e-01,2.8861226747e-01
2.8856963833e-01,2.8856963804e-01
2.8852478318e-01,2.8852478275e-01
2.8847770218e-01,2.8847770207e-01
2.8842839505e-01,2.8842839459e-01
2.8837686152e-01,2.8837686125e-01
2.8832310134e-01,2.8832310112e-01
2.8826711430e-01,2.8826711420e-01
2.8820890019e-01,2.8820890002e-01
2.8814845879e-01,2.8814845858e-01
2.8808578995e-01,2.8808578989e-01
2.8802089350e-01,2.8802089347e-01
2.8795376930e-01,2.8795376886e-01
2.8788441723e-01,2.8788441699e-01
2.8781283717e-01,2.8781283693e-01
2.8773902905e-01,2.8773902869e-01
2.8766299277e-01,2.8766299272e-01
2.8758472830e-01,2.8758472810e-01
2.8750423559e-01,2.8750423528e-01
2.8742151463e-01,2.8742151428e-01
2.8733656540e-01,2.8733656509e-01
2.8724938793e-01,2.8724938771e-01
2.8715998224e-01,2.8715998214e-01
2.8706834838e-01,2.8706834838e-01
2.8697448643e-01,2.8697448596e-01
2.8687839645e-01,2.8687839629e-01
2.8678007857e-01,2.8678007843e-01
2.8667953289e-01,2.8667953284e-01
2.8657675954e-01,2.8657675954e-01
2.8647175870e-01,2.8647175850e-01
2.8636453051e-01,2.8636453021e-01
2.8625507518e-01,2.8625507513e-01
2.8614339291e-01,2.8614339279e-01
2.8602948393e-01,2.8602948366e-01
2.8591334847e-01,2.8591334820e-01
2.8579498679e-01,2.8579498641e-01
2.8567439917e-01,2.8567439876e-01
2.8555158590e-01,2.8555158572e-01
2.8542654730e-01,2.8542654729e-01
2.8529928369e-01,2.8529928345e-01
2.8516979543e-01,2.8516979516e-01
2.8503808286e-01,2.8503808286e-01
2.8490414638e-01,2.8490414610e-01
2.8476798639e-01,2.8476798628e-01
2.8462960330e-01,2.8462960292e-01
2.8448899754e-01,2.8448899742e-01
2.8434616958e-01,2.8434616933e-01
2.8420111987e-01,2.8420111956e-01
2.8405384890e-01,2.8405384859e-01
2.8390435719e-01,2.8390435688e-01
2.8375264525e-01,2.8375264490e-01
2.8359871363e-01,2.8359871358e-01
2.8344256287e-01,2.8344256245e-01
2.8328419357e-01,2.8328419337e-01
2.8312360630e-01,2.8312360588e-01
2.8296080169e-01,2.8296080139e-01
2.8279578036e-01,2.8279578034e-01
2.8262854295e-01,2.8262854274e-01
2.8245909014e-01,2.8245909000e-01
2.8228742260e-01,2.8228742257e-01
2.8211354103e-01,2.8211354092e-01
2.8193744616e-01,2.8193744598e-01
2.8175913871e-01,2.8175913868e-01
2.8157861944e-01,2.8157861903e-01
2.8139588913e-01,2.8139588889e-01
2.8121094855e-01,2.8121094825e-01
2.8102379851e-01,2.8102379804e-01
2.8083443984e-01,2.8083443968e-01
2.8064287339e-01,2.8064287314e-01
2.8044910000e-01,2.8044909984e-01
2.8025312056e-01,2.8025312023e-01
2.8005493597e-01,2.8005493572e-01
2.7985454713e-01,2.7985454677e-01
2.7965195498e-01,2.7965195477e-01
2.7944716046e-01,2.7944716020e-01
2.7924016455e-01,2.7924016444e-01
2.7903096822e-01,2.7903096797e-01
2.7881957247e-01,2.7881957218e-01
2.7860597834e-01,2.7860597800e-01
2.7839018685e-01,2.7839018684e-01
2.7817219907e-01,2.7817219868e-01
2.7795201605e-01,2.7795201587e-01
2.7772963891e-01,2.7772963885e-01
2.7750506873e-01,2.7750506857e-01
2.7727830666e-01,2.7727830643e-01
2.7704935384e-01,2.7704935381e-01
2.7681821143e-01,2.7681821119e-01
2.7658488060e-01,2.7658488043e-01
2.7634936256e-01,2.7634936245e-01
2.7611165853e-01,2.7611165820e-01
2.7587176974e-01,2.7587176953e-01
2.7562969743e-01,2.7562969737e-01
2.7538544289e-01,2.7538544266e-01
2.7513900739e-01,2.7513900725e-01
2.7489039225e-01,2.7489039209e-01
2.7463959878e-01,2.7463959856e-01
2.7438662833e-01,2.7438662807e-01
2.7413148226e-01,2.7413148200e-01
2.7387416194e-01,2.7387416176e-01
2.7361466877e-01,2.7361466875e-01
2.7335300416e-01,2.7335300390e-01
2.7308916954e-01,2.7308916952e-01
2.7282316637e-01,2.7282316610e-01
2.7255499610e-01,2.7255499596e-01
2.7228466022e-01,2.7228466002e-01
2.7201216024e-01,2.7201216016e-01
2.7173749767e-01,2.7173749730e-01
2.7146067405e-01,2.7146067377e-01
2.7118169094e-01,2.7118169051e-01
2.7090054991e-01,2.7090054983e-01
2.7061725256e-01,2.7061725222e-01
2.7033180048e-01,2.7033180045e-01
2.7004419532e-01,2.7004419500e-01
2.6975443871e-01,2.6975443866e-01
2.6946253232e-01,2.6946253190e-01
2.6916847782e-01,2.6916847751e-01
2.6887227693e-01,2.6887227688e-01
2.6857393134e-01,2.6857393095e-01
2.6827344281e-01,2.6827344252e-01
2.6797081308e-01,2.6797081297e-01
2.6766604392e-01,2.6766604371e-01
2.6735913712e-01,2.6735913707e-01
2.6705009448e-01,2.6705009444e-01
2.6673891783e-01,2.6673891768e-01
2.6642560902e-01,2.6642560866e-01
2.6611016989e-01,2.6611016970e-01
2.6579260234e-01,2.6579260221e-01
2.6547290825e-01,2.6547290804e-01
2.6515108953e-01,2.6515108952e-01
2.6482714812e-01,2.6482714806e-01
2.6450108597e-01,2.6450108550e-01
2.6417290504e-01,2.6417290466e-01
2.6384260731e-01,2.6384260692e-01
2.6351019480e-01,2.6351019461e-01
2.6317566952e-01,2.6317566913e-01
2.6283903350e-01,2.6283903327e-01
2.6250028881e-01,2.6250028843e-01
2.6215943751e-01,2.6215943741e-01
2.6181648170e-01,2.6181648159e-01
2.6147142349e-01,2.6147142332e-01
2.6112426500e-01,2.6112426491e-01
2.6077500838e-01,2.6077500824e-01
2.6042365579e-01,2.6042365562e-01
2.6007020941e-01,2.6007020939e-01
2.5971467145e-01,2.5971467141e-01
2.5935704410e-01,2.5935704401e-01
2.5899732962e-01,2.5899732951e-01
2.5863553024e-01,2.5863552978e-01
2.5827164824e-01,2.5827164808e-01
2.5790568591e-01,2.5790568581e-01
2.5753764555e-01,2.5753764529e-01
2.5716752948e-01,2.5716752931e-01
2.5679534005e-01,2.5679533975e-01
2.5642107960e-01,2.5642107939e-01
2.5604475052e-01,2.5604475010e-01
2.5566635520e-01,2.5566635514e-01
2.5528589604e-01,2.5528589590e-01
2.5490337548e-01,2.5490337517e-01
2.5451879597e-01,2.5451879576e-01
2.5413215996e-01,2.5413215952e-01
2.5374346994e-01,2.5374346972e-01
2.5335272841e-01,2.5335272821e-01
2.5295993789e-01,2.5295993779e-01
2.5256510090e-01,2.5256510079e-01
2.5216822000e-01,2.5216821954e-01
2.5176929776e-01,2.5176929776e-01
2.5136833677e-01,2.5136833638e-01
2.5096533963e-01,2.5096533960e-01
2.5056030897e-01,2.5056030881e-01
2.5015324742e-01,2.5015324727e-01
2.4974415764e-01,2.4974415731e-01
2.4933304231e-01,2.4933304219e-01
2.4891990412e-01,2.4891990377e-01
2.4850474578e-01,2.4850474577e-01
2.4808757002e-01,2.4808756961e-01
2.4766837958e-01,2.4766837945e-01
2.4724717722e-01,2.4724717718e-01
2.4682396573e-01,2.4682396557e-01
2.4639874790e-01,2.4639874790e-01
2.4597152655e-01,2.4597152648e-01
2.4554230452e-01,2.4554230412e-01
2.4511108464e-01,2.4511108454e-01
2.4467786979e-01,2.4467786960e-01
2.4424266285e-01,2.4424266256e-01
2.4380546674e-01,2.4380546669e-01
2.4336628435e-01,2.4336628430e-01
2.4292511864e-01,2.4292511819e-01
2.4248197256e-01,2.4248197256e-01
2.4203684907e-01,2.4203684879e-01
2.4158975118e-01,2.4158975109e-01
2.4114068188e-01,2.4114068178e-01
2.4068964420e-01,2.4068964412e-01
2.4023664118e-01,2.4023664091e-01
2.3978167587e-01,2.3978167586e-01
2.3932475137e-01,2.3932475131e-01
2.3886587075e-01,2.3886587052e-01
2.3840503713e-01,2.3840503674e-01
2.3794225363e-01,2.3794225324e-01
2.3747752341e-01,2.3747752327e-01
2.3701084962e-01,2.3701084917e-01
2.3654223544e-01,2.3654223513e-01
2.3607168407e-01,2.3607168393e-01
2.3559919873e-01,2.3559919838e-01
2.3512478263e-01,2.3512478219e-01
2.3464843904e-01,2.3464843864e-01
2.3417017122e-01,2.3417017097e-01
2.3368998244e-01,2.3368998198e-01
2.3320787601e-01,2.3320787586e-01
2.3272385525e-01,2.3272385495e-01
2.3223792349e-01,2.3223792342e-01
2.3175008407e-01,2.3175008362e-01
2.3126034037e-01,2.3126034020e-01
2.3076869577e-01,2.3076869547e-01
2.3027515368e-01,2.3027515365e-01
2.2977971750e-01,2.2977971705e-01
2.2928239069e-01,2.2928239033e-01
2.2878317668e-01,2.2878317628e-01
2.2828207895e-01,2.2828207863e-01
2.2777910099e-01,2.2777910065e-01
2.2727424630e-01,2.2727424605e-01
2.2676751840e-01,2.2676751809e-01
2.2625892082e-01,2.2625892051e-01
2.2574845712e-01,2.2574845701e-01
2.2523613088e-01,2.2523613088e-01
2.2472194567e-01,2.2472194536e-01
2.2420590511e-01,2.2420590511e-01
2.2368801281e-01,2.2368801245e-01
2.2316827242e-01,2.2316827206e-01
2.2264668758e-01,2.2264668718e-01
