metric,numpy,matlab,abs_diff,class,flag
anchor[A1_farfield_BW_1k_deg],29.269033,29.269033,1.479e-08,db,OK
anchor[A3_peak_SLL_dB],-20.000000,-20.000000,3.783e-07,db,OK
anchor[A2_paired_vs_16elem_max_abs_diff],0.000000,0.000000,0.000e+00,db,OK
focal_gain_dB@500Hz_2m,0.074600,0.074574,2.559e-05,db,OK
axial_depth_m@500Hz_2m,0.402800,0.402351,4.495e-04,length,OK
lateral_width_m@500Hz_2m,2.120100,2.120096,3.668e-06,length,OK
focal_gain_dB@500Hz_3m,0.033600,0.033614,1.366e-05,db,OK
axial_depth_m@500Hz_3m,0.485100,0.484677,4.234e-04,length,OK
lateral_width_m@500Hz_3m,3.158700,3.158694,6.025e-06,length,OK
focal_gain_dB@500Hz_5m,0.012200,0.012190,1.044e-05,db,OK
axial_depth_m@500Hz_5m,0.641800,0.641376,4.237e-04,length,OK
lateral_width_m@500Hz_5m,5.246300,5.246067,2.325e-04,length,OK
focal_gain_dB@500Hz_8m,0.004800,0.004774,2.645e-05,db,OK
axial_depth_m@500Hz_8m,0.898200,0.897253,9.467e-04,length,OK
lateral_width_m@500Hz_8m,8.383800,8.383575,2.254e-04,length,OK
focal_gain_dB@500Hz_12m,0.002100,0.002123,2.348e-05,db,OK
axial_depth_m@500Hz_12m,1.265100,1.265003,9.651e-05,length,OK
lateral_width_m@500Hz_12m,12.570000,12.569943,5.676e-05,length,OK
focal_gain_dB@1000Hz_2m,0.299100,0.299059,4.056e-05,db,OK
axial_depth_m@1000Hz_2m,0.837400,0.837353,4.691e-05,length,OK
lateral_width_m@1000Hz_2m,1.037600,1.037591,8.694e-06,length,OK
focal_gain_dB@1000Hz_3m,0.134600,0.134614,1.415e-05,db,OK
axial_depth_m@1000Hz_3m,0.903500,0.903332,1.677e-04,length,OK
lateral_width_m@1000Hz_3m,1.543400,1.543300,9.963e-05,length,OK
focal_gain_dB@1000Hz_5m,0.048800,0.048780,2.047e-05,db,OK
axial_depth_m@1000Hz_5m,0.935600,0.934739,8.610e-04,length,OK
lateral_width_m@1000Hz_5m,2.560900,2.560890,9.708e-06,length,OK
focal_gain_dB@1000Hz_8m,0.019100,0.019097,2.529e-06,db,OK
axial_depth_m@1000Hz_8m,1.079700,1.078647,1.053e-03,length,OK
lateral_width_m@1000Hz_8m,4.091600,4.091212,3.882e-04,length,OK
focal_gain_dB@1000Hz_12m,0.008500,0.008495,5.416e-06,db,OK
axial_depth_m@1000Hz_12m,1.383200,1.382906,2.940e-04,length,OK
lateral_width_m@1000Hz_12m,6.133900,6.133494,4.062e-04,length,OK
focal_gain_dB@2000Hz_2m,1.207200,1.207196,4.355e-06,db,OK
axial_depth_m@2000Hz_2m,0.972600,0.972307,2.931e-04,length,OK
lateral_width_m@2000Hz_2m,0.515200,0.515125,7.510e-05,length,OK
focal_gain_dB@2000Hz_3m,0.540900,0.540912,1.224e-05,db,OK
axial_depth_m@2000Hz_3m,1.139200,1.138571,6.287e-04,length,OK
lateral_width_m@2000Hz_3m,0.765800,0.765758,4.159e-05,length,OK
focal_gain_dB@2000Hz_5m,0.195500,0.195455,4.548e-05,db,OK
axial_depth_m@2000Hz_5m,2.106200,2.106157,4.285e-05,length,OK
lateral_width_m@2000Hz_5m,1.270400,1.270286,1.139e-04,length,OK
focal_gain_dB@2000Hz_8m,0.076400,0.076442,4.214e-05,db,OK
axial_depth_m@2000Hz_8m,2.132500,2.131732,7.679e-04,length,OK
lateral_width_m@2000Hz_8m,2.029400,2.029163,2.375e-04,length,OK
focal_gain_dB@2000Hz_12m,0.034000,0.033989,1.128e-05,db,OK
axial_depth_m@2000Hz_12m,1.988500,1.987424,1.076e-03,length,OK
lateral_width_m@2000Hz_12m,3.042000,3.041981,1.946e-05,length,OK
focal_gain_dB@4000Hz_2m,4.845400,4.845366,3.399e-05,db,OK
axial_depth_m@4000Hz_2m,0.508800,0.508568,2.318e-04,length,OK
lateral_width_m@4000Hz_2m,0.257100,0.257080,1.990e-05,length,OK
focal_gain_dB@4000Hz_3m,2.194300,2.194277,2.320e-05,db,OK
axial_depth_m@4000Hz_3m,0.497600,0.497392,2.077e-04,length,OK
lateral_width_m@4000Hz_3m,0.382200,0.382105,9.531e-05,length,OK
focal_gain_dB@4000Hz_5m,0.786900,0.786893,6.528e-06,db,OK
axial_depth_m@4000Hz_5m,2.288600,2.288153,4.472e-04,length,OK
lateral_width_m@4000Hz_5m,0.633900,0.633807,9.278e-05,length,OK
focal_gain_dB@4000Hz_8m,0.306600,0.306588,1.194e-05,db,OK
axial_depth_m@4000Hz_8m,2.409100,2.408557,5.432e-04,length,OK
lateral_width_m@4000Hz_8m,1.012600,1.012419,1.811e-04,length,OK
focal_gain_dB@4000Hz_12m,0.136100,0.136120,1.967e-05,db,OK
axial_depth_m@4000Hz_12m,4.611100,4.610647,4.526e-04,length,OK
lateral_width_m@4000Hz_12m,1.517900,1.517733,1.666e-04,length,OK
focal_gain_dB@6000Hz_2m,8.091400,8.091432,3.219e-05,db,OK
axial_depth_m@6000Hz_2m,0.326500,0.326168,3.318e-04,length,OK
lateral_width_m@6000Hz_2m,0.171400,0.171327,7.349e-05,length,OK
focal_gain_dB@6000Hz_3m,4.918400,4.918439,3.877e-05,db,OK
axial_depth_m@6000Hz_3m,0.083600,0.083188,4.120e-04,length,OK
lateral_width_m@6000Hz_3m,0.254700,0.254640,6.024e-05,length,OK
focal_gain_dB@6000Hz_5m,1.786300,1.786328,2.807e-05,db,OK
axial_depth_m@6000Hz_5m,0.203800,0.203022,7.778e-04,length,OK
lateral_width_m@6000Hz_5m,0.422400,0.422371,2.865e-05,length,OK
focal_gain_dB@6000Hz_8m,0.692700,0.692748,4.820e-05,db,OK
axial_depth_m@6000Hz_8m,3.449600,3.448510,1.090e-03,length,OK
lateral_width_m@6000Hz_8m,0.674900,0.674676,2.241e-04,length,OK
focal_gain_dB@6000Hz_12m,0.306900,0.306875,2.464e-05,db,OK
axial_depth_m@6000Hz_12m,3.391400,3.389871,1.529e-03,length,OK
lateral_width_m@6000Hz_12m,1.011500,1.011416,8.441e-05,length,OK
isolation_z1_on_minus_off_dB@3m_vs_8m_500Hz,8.508900,8.508921,2.093e-05,db,OK
isolation_z2_on_minus_off_dB@3m_vs_8m_500Hz,-8.482800,-8.482759,4.136e-05,db,OK
focusing_excess_z1_dB@3m_vs_8m_500Hz,-0.010500,-0.010454,4.629e-05,db,OK
focusing_excess_z2_dB@3m_vs_8m_500Hz,0.036600,0.036616,1.601e-05,db,OK
isolation_z1_on_minus_off_dB@3m_vs_8m_1000Hz,8.548200,8.548236,3.558e-05,db,OK
isolation_z2_on_minus_off_dB@3m_vs_8m_1000Hz,-8.443500,-8.443537,3.708e-05,db,OK
focusing_excess_z1_dB@3m_vs_8m_1000Hz,0.028900,0.028861,3.907e-05,db,OK
focusing_excess_z2_dB@3m_vs_8m_1000Hz,0.075800,0.075838,3.757e-05,db,OK
isolation_z1_on_minus_off_dB@3m_vs_8m_2000Hz,8.705900,8.705863,3.718e-05,db,OK
isolation_z2_on_minus_off_dB@3m_vs_8m_2000Hz,-8.286300,-8.286290,9.806e-06,db,OK
focusing_excess_z1_dB@3m_vs_8m_2000Hz,0.186500,0.186488,1.182e-05,db,OK
focusing_excess_z2_dB@3m_vs_8m_2000Hz,0.233100,0.233084,1.555e-05,db,OK
isolation_z1_on_minus_off_dB@3m_vs_8m_4000Hz,9.341900,9.341900,1.035e-07,db,OK
isolation_z2_on_minus_off_dB@3m_vs_8m_4000Hz,-7.651900,-7.651910,1.045e-05,db,OK
focusing_excess_z1_dB@3m_vs_8m_4000Hz,0.822500,0.822525,2.546e-05,db,OK
focusing_excess_z2_dB@3m_vs_8m_4000Hz,0.867500,0.867464,3.580e-05,db,OK
isolation_z1_on_minus_off_dB@3m_vs_8m_6000Hz,10.417700,10.417681,1.904e-05,db,OK
isolation_z2_on_minus_off_dB@3m_vs_8m_6000Hz,-6.579400,-6.579437,3.719e-05,db,OK
focusing_excess_z1_dB@3m_vs_8m_6000Hz,1.898300,1.898306,6.319e-06,db,OK
focusing_excess_z2_dB@3m_vs_8m_6000Hz,1.939900,1.939937,3.745e-05,db,OK
isolation_z1_on_minus_off_dB@2m_vs_5m_500Hz,7.934300,7.934266,3.366e-05,db,OK
isolation_z2_on_minus_off_dB@2m_vs_5m_500Hz,-7.881100,-7.881074,2.584e-05,db,OK
focusing_excess_z1_dB@2m_vs_5m_500Hz,-0.024500,-0.024534,3.383e-05,db,OK
focusing_excess_z2_dB@2m_vs_5m_500Hz,0.077700,0.077726,2.601e-05,db,OK
isolation_z1_on_minus_off_dB@2m_vs_5m_1000Hz,8.014400,8.014362,3.765e-05,db,OK
isolation_z2_on_minus_off_dB@2m_vs_5m_1000Hz,-7.801400,-7.801390,9.868e-06,db,OK
focusing_excess_z1_dB@2m_vs_5m_1000Hz,0.055600,0.055562,3.783e-05,db,OK
focusing_excess_z2_dB@2m_vs_5m_1000Hz,0.157400,0.157410,1.004e-05,db,OK
isolation_z1_on_minus_off_dB@2m_vs_5m_2000Hz,8.336300,8.336264,3.606e-05,db,OK
isolation_z2_on_minus_off_dB@2m_vs_5m_2000Hz,-7.481200,-7.481210,9.635e-06,db,OK
focusing_excess_z1_dB@2m_vs_5m_2000Hz,0.377500,0.377464,3.623e-05,db,OK
focusing_excess_z2_dB@2m_vs_5m_2000Hz,0.477600,0.477591,9.462e-06,db,OK
isolation_z1_on_minus_off_dB@2m_vs_5m_4000Hz,9.644500,9.644467,3.309e-05,db,OK
isolation_z2_on_minus_off_dB@2m_vs_5m_4000Hz,-6.181200,-6.181203,2.552e-06,db,OK
focusing_excess_z1_dB@2m_vs_5m_4000Hz,1.685700,1.685667,3.327e-05,db,OK
focusing_excess_z2_dB@2m_vs_5m_4000Hz,1.777600,1.777598,2.378e-06,db,OK
isolation_z1_on_minus_off_dB@2m_vs_5m_6000Hz,11.846800,11.846789,1.143e-05,db,OK
isolation_z2_on_minus_off_dB@2m_vs_5m_6000Hz,-3.998200,-3.998190,1.002e-05,db,OK
focusing_excess_z1_dB@2m_vs_5m_6000Hz,3.888000,3.887988,1.160e-05,db,OK
